_id,modeId,startTime,endTime,accountId,nickname,level,score,gradingScore
8YiAjTr5QWa,11,2023/1/3 5:55,2023/1/3 6:07,69922136,いおり530,10401,24000,34
8Yi9rUxY7NC,11,2023/1/3 5:43,2023/1/3 5:54,69922136,いおり530,10401,34900,80
8Yi5aoyCF1v,11,2023/1/3 4:45,2023/1/3 5:01,69922136,いおり530,10401,19500,-100
8YhphdQfxZu,11,2023/1/3 1:08,2023/1/3 1:39,69922136,いおり530,10401,8800,-111
8Yhnw3ZwwBr,11,2023/1/3 0:44,2023/1/3 0:58,69922136,いおり530,10401,27000,37
8YhlizCg4ql,11,2023/1/3 0:13,2023/1/3 0:30,69922136,いおり530,10401,19500,-10
8Yh5cyDixJt,11,2023/1/2 14:38,2023/1/2 15:02,69922136,いおり530,10401,29000,39
8Yh47XQgRxf,11,2023/1/2 14:18,2023/1/2 14:34,69922136,いおり530,10401,31400,77
8Yh1jNcpzSR,11,2023/1/2 13:45,2023/1/2 14:15,69922136,いおり530,10401,20200,-9
8YguaieWTJ3,11,2023/1/2 12:07,2023/1/2 12:26,69922136,いおり530,10401,17800,-102
8YgrJ8IXWmi,11,2023/1/2 11:22,2023/1/2 11:47,69922136,いおり530,10401,18500,-11
8YgkPjX0OcE,11,2023/1/2 9:48,2023/1/2 10:23,69922136,いおり530,10401,21500,-8
8YgZGd6lzTO,11,2023/1/2 7:16,2023/1/2 7:33,69922136,いおり530,10401,19100,-100
8YgVSe5Szx3,11,2023/1/2 6:24,2023/1/2 6:36,69922136,いおり530,10401,16300,-103
8YgTL46ZEX6,11,2023/1/2 5:55,2023/1/2 6:13,69922136,いおり530,10401,30200,41
8YgPe7J0WbH,11,2023/1/2 5:04,2023/1/2 5:18,69922136,いおり530,10401,25300,-4
8YgHaiPWlAo,11,2023/1/2 3:14,2023/1/2 3:28,69922136,いおり530,10401,30500,41
8YfQ6TZuzzZ,11,2023/1/1 15:03,2023/1/1 15:17,69922136,いおり530,10401,33200,79
8YfN5ROL4pi,11,2023/1/1 14:22,2023/1/1 14:44,69922136,いおり530,10401,34900,80
8YfChkNsZhV,11,2023/1/1 12:00,2023/1/1 12:20,69922136,いおり530,10401,26000,36
8YfB0TTK4Gv,11,2023/1/1 11:37,2023/1/1 11:40,69922136,いおり530,10401,25000,-5
8Yf8V9Ju2Dz,11,2023/1/1 11:03,2023/1/1 11:27,69922136,いおり530,10401,34400,80
8Yf7aWv7FKQ,11,2023/1/1 10:50,2023/1/1 10:59,69922136,いおり530,10401,20700,-9
8Yf5ZA60YYn,11,2023/1/1 10:23,2023/1/1 10:48,69922136,いおり530,10401,38000,48
8Yemu0Vc1Aa,11,2023/1/1 6:08,2023/1/1 6:30,69922136,いおり530,10401,-2200,-122
8Yel3Zrytti,11,2023/1/1 5:42,2023/1/1 5:54,69922136,いおり530,10401,26000,36
8YejKgDR7zW,11,2023/1/1 5:19,2023/1/1 5:41,69922136,いおり530,10401,9700,-110
8YeRqQpfE0x,11,2023/1/1 1:20,2023/1/1 1:43,69922136,いおり530,10401,52200,98
8YdSC3EMORL,11,2022/12/31 11:17,2022/12/31 11:35,69922136,いおり530,10401,17300,-102
8YdONv7d7Ft,11,2022/12/31 10:25,2022/12/31 10:47,69922136,いおり530,10401,18100,-101
8YdMQJn91qu,11,2022/12/31 9:59,2022/12/31 10:15,69922136,いおり530,10401,25800,36
8YdIk1Q3ZDX,11,2022/12/31 9:08,2022/12/31 9:38,69922136,いおり530,10401,17100,-12
8Yd5WyOIBTq,11,2022/12/31 6:08,2022/12/31 6:37,69922136,いおり530,10401,11800,-108
8Yd2INevbjn,11,2022/12/31 5:24,2022/12/31 5:39,69922136,いおり530,10401,37800,83
8Yd0NRTw6dA,11,2022/12/31 4:57,2022/12/31 5:12,69922136,いおり530,10401,19100,-10
8YcrWRsYvSo,11,2022/12/31 2:56,2022/12/31 3:12,69922136,いおり530,10401,24400,35
8Ycq06SF45V,11,2022/12/31 2:36,2022/12/31 2:49,69922136,いおり530,10401,65600,111
8YclZT9Tjxp,11,2022/12/31 1:35,2022/12/31 1:51,69922136,いおり530,10401,18100,-11
8Yc0EAmTGwg,11,2022/12/30 14:48,2022/12/30 15:04,69922136,いおり530,10401,3600,-116
8YbyIBKHCHL,11,2022/12/30 14:22,2022/12/30 14:47,69922136,いおり530,10401,32900,43
8YbXGUv3cZL,11,2022/12/30 8:12,2022/12/30 8:30,69922136,いおり530,10401,-200,-120
8YbUZMsDgFC,11,2022/12/30 7:35,2022/12/30 7:57,69922136,いおり530,10401,23000,33
8YbPW1ri2Qq,11,2022/12/30 6:26,2022/12/30 6:55,69922136,いおり530,10401,27100,38
8YbGQiYJKnU,11,2022/12/30 4:22,2022/12/30 4:36,69922136,いおり530,10401,23500,-6
8YbEEzaWYha,11,2022/12/30 3:52,2022/12/30 4:14,69922136,いおり530,10401,29500,40
8Yb7sMpcTSx,11,2022/12/30 2:25,2022/12/30 2:51,69922136,いおり530,10401,19700,-10
8Yb6R4adQmJ,11,2022/12/30 2:06,2022/12/30 2:24,69922136,いおり530,10401,27200,38
8YZoJdkZfqk,11,2022/12/29 7:51,2022/12/29 8:11,69922136,いおり530,10401,35800,81
8YZm4r3zdBI,11,2022/12/29 7:20,2022/12/29 7:31,69922136,いおり530,10401,26600,-3
8YZkzvu3l5b,11,2022/12/29 7:05,2022/12/29 7:19,69922136,いおり530,10401,15200,-104
8YZjoJl9bOD,11,2022/12/29 6:49,2022/12/29 7:04,69922136,いおり530,10401,25700,36
8YZZukKrSBx,11,2022/12/29 4:34,2022/12/29 4:43,69922136,いおり530,10401,32700,43
8YZXq2a63Zv,11,2022/12/29 4:05,2022/12/29 4:26,69922136,いおり530,10401,17600,-102
8YZVbwHXFVj,11,2022/12/29 3:35,2022/12/29 3:57,69922136,いおり530,10401,23300,-6
8YZTnepWEgd,11,2022/12/29 3:10,2022/12/29 3:24,69922136,いおり530,10401,30800,76
8YZQd8mMOP3,11,2022/12/29 2:27,2022/12/29 2:49,69922136,いおり530,10401,22300,33
8YZIDub5kUx,11,2022/12/29 0:32,2022/12/29 0:53,69922136,いおり530,10401,20800,-99
8YXkzen9JWF,11,2022/12/28 2:51,2022/12/28 3:10,69922136,いおり530,10401,16100,-103
8YXjuT5NNNW,11,2022/12/28 2:36,2022/12/28 2:48,69922136,いおり530,10401,29300,40
8YXiskz3l9w,11,2022/12/28 2:22,2022/12/28 2:33,69922136,いおり530,10401,21500,-8
8YWrv5O8h5I,11,2022/12/27 14:18,2022/12/27 14:40,69922136,いおり530,10401,26900,37
8YWkM0EkTfR,11,2022/12/27 12:35,2022/12/27 12:54,69922136,いおり530,10401,36400,82
8YWcq8xzjv0,11,2022/12/27 10:52,2022/12/27 11:16,69922136,いおり530,10401,25700,36
8YWNHOpADcj,11,2022/12/27 7:19,2022/12/27 7:39,69922136,いおり530,10401,24100,35
8YWKZMt5y6o,11,2022/12/27 6:42,2022/12/27 7:02,69922136,いおり530,10401,23200,-6
8YW4NkgYIlq,11,2022/12/27 3:01,2022/12/27 3:16,69922136,いおり530,10401,15500,-104
8YW0Pvxb5WX,11,2022/12/27 2:07,2022/12/27 2:20,69922136,いおり530,10401,100,-119
8YVyynpIlmf,11,2022/12/27 1:47,2022/12/27 2:05,69922136,いおり530,10401,30300,76
8YVxVCTLgAM,11,2022/12/27 1:27,2022/12/27 1:46,69922136,いおり530,10401,23300,34
8YVDT1LPkH1,11,2022/12/26 14:58,2022/12/26 15:16,69922136,いおり530,10401,30900,76
8YVCAcejRFE,11,2022/12/26 14:40,2022/12/26 14:57,69922136,いおり530,10401,37200,83
8YVB6Ous3S2,11,2022/12/26 14:26,2022/12/26 14:37,69922136,いおり530,10401,30700,41
8YV9sVWHrhw,11,2022/12/26 14:09,2022/12/26 14:23,69922136,いおり530,10401,13000,-17
8YV2nY3K09U,11,2022/12/26 12:32,2022/12/26 12:55,69922136,いおり530,10401,47200,93
8YUxJngMW4w,11,2022/12/26 11:17,2022/12/26 11:36,69922136,いおり530,10401,35800,81
8YUv0OQp5eX,11,2022/12/26 10:46,2022/12/26 11:07,69922136,いおり530,10401,17800,-12
8YUrhk9uKqp,11,2022/12/26 10:01,2022/12/26 10:23,69922136,いおり530,10401,-800,-120
8YTYnT9tavE,11,2022/12/25 15:35,2022/12/25 15:56,69922136,いおり530,10401,12200,-107
8YTPHcRl5R0,11,2022/12/25 13:25,2022/12/25 13:46,69922136,いおり530,10401,9200,-110
8YTLrb1gpBa,11,2022/12/25 12:38,2022/12/25 12:55,69922136,いおり530,10401,19900,-10
8YTFNeVrofa,11,2022/12/25 11:10,2022/12/25 11:21,69922136,いおり530,10401,31700,77
8YTD4WS6BOq,11,2022/12/25 10:38,2022/12/25 10:49,69922136,いおり530,10401,14900,-105
8YTBahzuS66,11,2022/12/25 10:18,2022/12/25 10:29,69922136,いおり530,10401,11700,-108
8YSdmxGquoQ,11,2022/12/25 2:36,2022/12/25 2:58,69922136,いおり530,10401,38000,83
8YSWX4XLBsM,11,2022/12/25 0:57,2022/12/25 1:16,69922136,いおり530,10401,22800,-7
8YRmHkEoXSF,11,2022/12/24 14:25,2022/12/24 14:47,69922136,いおり530,10401,12400,-17
8YRkDWLe4KW,11,2022/12/24 13:56,2022/12/24 14:17,69922136,いおり530,10401,29300,40
8YRiDuPVuAm,11,2022/12/24 13:29,2022/12/24 13:50,69922136,いおり530,10401,60400,106
8YRh5q0LWx6,11,2022/12/24 13:14,2022/12/24 13:28,69922136,いおり530,10401,44900,90
8YRZgoFNS3f,11,2022/12/24 11:33,2022/12/24 11:54,69922136,いおり530,10401,31700,42
8YRXZeY3ZI7,11,2022/12/24 11:04,2022/12/24 11:19,69922136,いおり530,10401,40400,86
8YRUIjDhBPz,11,2022/12/24 10:19,2022/12/24 10:39,69922136,いおり530,10401,25900,36
8YRTFo4uXme,11,2022/12/24 10:05,2022/12/24 10:18,69922136,いおり530,10401,32900,78
8YRRIQKjlhj,11,2022/12/24 9:38,2022/12/24 9:51,69922136,いおり530,10401,32900,78
8YR1wh6qdXi,11,2022/12/24 3:51,2022/12/24 4:15,69922136,いおり530,10401,16500,-103
8YR03AtLdBq,11,2022/12/24 3:26,2022/12/24 3:38,69922136,いおり530,10401,22500,-7
8YQCxWmLZDC,11,2022/12/23 16:15,2022/12/23 16:27,69922136,いおり530,10401,22400,-7
